Rider,What it covers,What it pays,Key exclusions / limits
LICÕs Accident Benefit Rider,Death due to accident while the rider is in force,"Extra rider sum assured, usually paid along with the base policy benefit ","Not payable for self-injury, attempted suicide, intoxication, war/riot-type events, adventure sports, or if death occurs after the riderÕs accident-claim time limit "
LICÕs Premium Waiver Benefit Rider,"Waives future premiums if the insured event under the rider occurs, so the base policy continues","Future premiums payable under the policy are waived for the rider term, subject to plan rules ",Availability depends on age and policy type; it is not a cash payout rider 
LICÕs Accidental Death & Disability Benefit Rider,Accident-related death and permanent disability,"Death benefit plus disability-related benefit, depending on the event and rider terms ","Generally excludes self-injury, suicide, intoxication, war, riots, and hazardous activities; disability cover is limited to covered permanent disablement "
LICÕs New Term Assurance Rider,"Death during the rider term, whether natural or accidental","On death, nominee gets the rider sum assured in addition to the base policy benefit ","No maturity benefit, no surrender value; rider ceases if premiums are not paid "
LICÕs Linked Accidental Death Benefit Rider,Accidental death under linked policies ,"Extra death benefit on accidental death, linked to the base policy ",Only for linked plans; accident-style exclusions usually apply 
LICÕs Critical Illness Health Rider,Specified critical illnesses listed in the rider conditions ,"Lump sum benefit on diagnosis of a covered critical illness, subject to rider rules ",Only listed illnesses are covered; pre-existing/non-covered conditions and diagnosis conditions apply 
LICÕs Female Critical Illness Benefit Rider,Female-specific critical illnesses covered under the rider terms ,Lump sum benefit if a covered female critical illness is diagnosed ,Limited to the illnesses and conditions specified in the rider document 
Axis Max Life Waiver of Premium Plus Rider,"Disability or listed critical illness, depending on the base plan and rider conditions ",Future premiums are waived; the policy stays in force ,Not a cash-benefit rider; availability depends on policy and rider terms 
Axis Max Life Critical Illness and Disability Rider,"Critical illnesses and/or total and permanent disability, depending on the chosen variant ","Lump sum benefit on valid CI or TPD claim, subject to rider sum assured and variant rules ","Waiting period applies; claims must satisfy illness definitions, survival period, and exclusions "
Axis Max Life Comprehensive Accident Benefit / Accidental Death Cover,Death or dismemberment due to accident ,Extra rider payout in addition to base policy benefit ,"Usually excludes suicide, war, criminal acts, intoxication, and other accident-policy exclusions "
Axis Max Life Terminal Illness benefit,Diagnosis of terminal illness under the base term plan structure ,Benefit is paid or accelerated as defined in the base plan terms ,Not a broad illness cover; only terminal illness as defined in the plan document 
Axis Max Life Accelerated Critical Illness Benefit,Certain specified critical illnesses under selected term plans ,Accelerated benefit paid on diagnosis of a covered illness ,Only covered illnesses qualify; waiting periods and medical definitions apply 
Axis Max Life Term Plus Rider,Additional death benefit ,Extra death benefit over and above the base policy ,Death cover only; no CI/disability protection implied 
Axis Max Life Accidental Death and Dismemberment Rider,Accidental death and dismemberment ,Rider sum assured on accidental death or covered dismemberment ,Accident-specific exclusions apply; benefit depends on rider definition and policy wording 
Axis Max Life Group Total and Permanent Disability (Accident) Premier Rider,Total and permanent disability due to accident in group coverage ,Disability benefit under the group rider structure ,"Group rider, not an individual retail term add-on; governed by group policy rules "
HDFC Life Income Benefit on Accidental Disability Rider Ð Linked / Non-Linked,Total permanent disability due to accident ,Additional income benefit over and above the sum assured; the linked version is a pure risk rider ,"Only for accidental permanent disability, not all disabilities; claim depends on rider definitions "
HDFC Life Protect Plus Rider Ð Linked / Non-Linked,"Accidental death, partial disability, total disability due to accident, and cancer in the rider wording ",A proportion of rider sum assured depending on the event ,Covers only listed events; not a general health rider 
HDFC Life Health Plus Rider Ð Linked / Non-Linked,Covered critical illnesses and cancer options ,Lump sum benefit equal to rider sum assured for covered critical illness; cancer option pays proportionate benefit for early-stage or major cancer depending on plan option ,Covers only the specified illnesses; plan option and survival conditions apply 
